"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
5,47,259,"B08Y6H656V",true,128,"INR",225,97,43.11,17,4.4,"https://www.amazon.in/dp/B08Y6H656V","74.80",false,false,false,false,"VAHDAM - Organic Green Tea Sampler Trial Pack | 15 Assorted Green Tea Bags | USDA Certified Organic Green Tea","https://m.media-amazon.com/images/I/813uxsjS2RL._AC_UL320_.jpg"
5,48,260,"B07VHDNBJG",true,161,"INR",208,47,22.6,5257,4.4,"https://www.amazon.in/dp/B07VHDNBJG","23130.80",false,false,false,false,"Fortune Chakki Fresh Atta, 5kg, 100% Atta 0% Maida","https://m.media-amazon.com/images/I/51C8aiAuiIL._AC_UL320_.jpg"
6,11,261,"B078VFLVB4",true,455,"INR",550,95,17.27,8463,4.2,"https://www.amazon.in/dp/B078VFLVB4","35544.60",false,false,false,false,"Mother Dairy Cow Ghee, 1L","https://m.media-amazon.com/images/I/81WRc8UgycL._AC_UL320_.jpg"
6,12,262,"B074WCQGV9",true,350,"INR",400,50,12.5,10983,4.5,"https://www.amazon.in/dp/B074WCQGV9","49423.50",false,false,false,false,"Comfort After Wash Fabric Conditioner, super saver pack Morning fresh variant for all day freshness and lasting fragrance,...","https://m.media-amazon.com/images/I/51WSwFg9F1L._AC_UL320_.jpg"
6,14,264,"B07HLZDR9S",true,560,"INR",740,180,24.32,9856,4.4,"https://www.amazon.in/dp/B07HLZDR9S","43366.40",false,false,false,false,"Dove Hair Fall Rescue Shampoo For Weak Hair, 1 Ltr","https://m.media-amazon.com/images/I/41fPnRl0WZL._AC_UL320_.jpg"
6,16,266,"B08TB4TN6T",true,60,"INR",75,15,20,132,4.1,"https://www.amazon.in/dp/B08TB4TN6T","541.20",false,false,false,false,"Center Fresh Mint, Chewy Mints, Spearmint Flavour Candy Pouch, 60 g","https://m.media-amazon.com/images/I/61bzhWtSfjL._AC_UL320_.jpg"
6,17,267,"B07BMRBZXL",true,252,"INR",270,18,6.67,6347,4.6,"https://www.amazon.in/dp/B07BMRBZXL","29196.20",false,false,false,false,"Madhur Pure Sugar Bag, 5kg","https://m.media-amazon.com/images/I/6128GKCJ9IL._AC_UL320_.jpg"
6,18,268,"B08ZVMBC7Q",false,60,"INR",0,0,0,2,4.5,"https://www.amazon.in/dp/B08ZVMBC7Q","9.00",false,false,false,false,"Mcvities Hobnob Gold Biscuit, 200g","https://m.media-amazon.com/images/I/61cv1-WbxhS._AC_UL320_.jpg"
6,19,269,"B07WQ4L7KM",false,399,"INR",0,0,0,3429,4.3,"https://www.amazon.in/dp/B07WQ4L7KM","14744.70",false,false,false,false,"Softouch 2X French Perfume Fabric Conditioner by Wipro, 1.6L","https://m.media-amazon.com/images/I/71B3sFrP9TS._AC_UL320_.jpg"
6,21,271,"B01N06981U",true,355,"INR",365,10,2.74,597,4.4,"https://www.amazon.in/dp/B01N06981U","2626.80",false,false,false,false,"Aashirvaad Sugar Release Control Atta, 5kg","https://m.media-amazon.com/images/I/81kcZpNNKNS._AC_UL320_.jpg"
